compatibility_category,classification_basis,detected_brands,compatibility_brands,source_brands,title,product_brand,source_url,compatibility
no-detectable-brand,structured-db,,,,Compatible Display B133UAN01.5 13.3 in 1920x1200 / WUXGA 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b133uan01.5-132950451,"Panel part numbers: B133UAN01.5. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,structured-db,,,,Compatible Display B156HTN02.1 15.6 in 1920x1080 / FHD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b156htn02.1-109927179/nup,"Panel part numbers: B156HTN02.1, B156HTN02.1 H/W:2A, B156HTN03.2, B156HTN03.3, B156HW03 V.0. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,structured-db,,,,Compatible Display B160QAN02.L 16.0 in 2560x1600 / WQXGA 40-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b160qan02.l-138996747,"Panel part numbers: B160QAN02.L, 71.16B04.003, B160QAN02.L 0A. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,structured-db,,,,Compatible Display B160UAN04.6 15.6 in 1920x1080 / FHD 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-b160uan04.6-150149929,"Panel part numbers: B160UAN04.6. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,structured-db,,,,Compatible Display N133JCA-EEK 13.3 in 1920x1200 / WUXGA 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-n133jca-eek-132950827,"Panel part numbers: N133JCA-EEK, N133JCA-EE1. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,structured-db,,,,Compatible Display N156HGE-LA1 15.6 in 1920x1080 / FHD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-n156hge-la1-109927260/nup,"Panel part numbers: N156HGE-LA1, N156HGE-LA1 Rev.C1. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,structured-db,,,,Compatible Display N156HGE-LG1 15.6 in 1920x1080 / FHD 40-pin LVDS,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-n156hge-lg1-109927263/nup,"Panel part numbers: N156HGE-LG1, N156HGE-LA1, N156HGE-LA1 Rev.C1, N156HGE-LB1 Rev.C1. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,structured-db,,,,Compatible Display NT140WHM-N42 14.0 in 1366x768 / WXGA 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-nt140whm-n42-141889590,"Panel part numbers: NT140WHM-N42, YPGW5. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,structured-db,,,,Compatible Display NV133WUM N42 V3.0 13.3 in 1920x1200 / WUXGA 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-nv133wum-n42-v3.0-132950836,"Panel part numbers: NV133WUM N42 V3.0. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
no-detectable-brand,structured-db,,,,Compatible Display NV133WUM-N61 V3.0 13.3 in 1920x1200 / WUXGA 30-pin eDP,Compatible,https://www.ipc-computer.eu/laptop-spare-parts/displays/display-nv133wum-n61-v3.0-132960774,"Panel part numbers: NV133WUM-N61 V3.0. Match screen size, resolution, connector pins, connector position and bracket style before ordering."
